Month,m1.large
201501,28.7812
201502,34.4632
201503,31.3381
201504,31.2834
201505,28.9207
201506,33.7596
201507,25.3969
201508,27.7849
201509,35.2479
201510,27.1159
201511,32.8717
201512,29.2171
201601,36.0253
201602,32.337
201603,34.5249
201604,32.8717
201605,34.1173
201606,26.5235
201607,27.6623
201608,26.3693
201609,25.7744
201610,29.27
201611,30.7326
201612,29.5054
201701,33.0292
201702,25.04
201703,28.9167
201704,24.3437
201705,26.1203
201706,34.9424
201707,25.0293
201708,26.6311
201709,35.6541
201710,28.4353
201711,29.1495
201712,28.1584
201801,26.1927
201802,33.3182
201803,30.9772
201804,27.0443
201805,35.5344
201806,26.2353
201807,28.9964
201808,32.0036
201809,31.0558
201810,34.2553
201811,28.0721
201812,28.9402
201901,35.4973
201902,29.747
201903,31.4333
201904,24.5556
201905,33.7431
201906,25.0466
201907,34.9318
201908,34.9879
201909,32.4721
201910,33.3759
201911,25.4652
201912,25.8717
