Month,m1.large
201501,34.7577
201502,27.2329
201503,29.6962
201504,25.8851
201505,26.5402
201506,31.134
201507,25.0374
201508,20.5822
201509,27.2156
201510,21.9477
201511,20.7447
201512,28.9633
201601,19.5801
201602,21.0691
201603,25.2373
201604,18.5355
201605,20.5305
201606,21.009
201607,21.6225
201608,19.681
201609,17.8698
201610,20.0569
201611,15.6248
201612,19.4585
201701,19.6619
201702,20.1131
201703,13.5119
201704,17.3118
201705,14.9623
201706,13.6421
201707,20.6236
201708,18.942
201709,11.7507
201710,15.7699
201711,12.7612
201712,15.3504
201801,11.0575
201802,11.0493
201803,7.15418
201804,12.1079
201805,10.9136
201806,15.3121
201807,4.75046
201808,11.4514
201809,7.40863
201810,1.79781
201811,2.75766
201812,12.27
201901,2.26104
201902,0.280929
201903,5.60738
201904,2.77789
201905,8.24829
201906,0.0
201907,4.64022
201908,0.0
201909,1.73428
201910,0.0
201911,0.0
201912,0.0
